order_id,customer_id,product_id,order_date,quantity,total_amount,payment_method,order_status
900171,10702,50391,2021-04-02 00:00:00,8,3472,PayPal,Returned
900172,10687,50392,2021-02-03 00:00:00,6,2520,PayPal,Pending
900173,10996,50328,2022-11-09 00:00:00,4,160,PayPal,Delivered
900174,10357,50215,2023-01-29 00:00:00,6,1872,PayPal,Pending
900175,10872,50864,2022-01-17 00:00:00,6,2076,PayPal,Delivered
900176,11974,50747,2023-08-24 00:00:00,10,1150,Bank Transfer,Delivered
900177,12252,50367,2022-01-22 00:00:00,3,576,PayPal,Delivered
900178,10552,50082,2022-06-19 00:00:00,8,3416,Bank Transfer,Returned
900179,11811,50806,2021-07-19 00:00:00,5,740,Bank Transfer,Delivered
900180,10323,50822,2021-10-02 00:00:00,10,1590,Bank Transfer,Delivered
900181,12642,50076,2022-05-16 00:00:00,4,1404,PayPal,Delivered
900182,12229,50527,2022-04-04 00:00:00,2,526,Credit Card,Cancelled
900183,12547,50732,2021-02-19 00:00:00,10,1010,Credit Card,Cancelled
900184,10083,50503,2023-08-28 00:00:00,1,380,PayPal,Returned
900185,12351,50742,2023-09-15 00:00:00,7,350,PayPal,Returned
900186,10262,50946,2022-06-16 00:00:00,10,2630,PayPal,Cancelled
900187,10784,50952,2023-10-01 00:00:00,3,1356,Bank Transfer,Cancelled
900188,11224,50479,2022-09-20 00:00:00,3,954,Credit Card,Delivered
900189,10914,50372,2021-12-05 00:00:00,3,1107,Credit Card,Cancelled
900190,12740,50265,2023-12-13 00:00:00,10,3880,Credit Card,Returned
900191,10944,50264,2021-01-04 00:00:00,3,69,Credit Card,Returned
900192,12731,50110,2021-10-08 00:00:00,2,204,Bank Transfer,Delivered
900193,11319,50915,2021-03-14 00:00:00,6,774,PayPal,Pending
900194,11536,50307,2023-02-07 00:00:00,10,3190,Bank Transfer,Pending
900195,10689,50200,2023-08-29 00:00:00,3,288,PayPal,Cancelled
900196,12444,50226,2023-09-25 00:00:00,1,338,PayPal,Delivered
900197,11773,50185,2021-07-27 00:00:00,10,3010,Credit Card,Cancelled
900198,10839,50964,2021-09-17 00:00:00,9,4212,Credit Card,Delivered
900199,10878,50031,2023-07-19 00:00:00,6,2130,PayPal,Cancelled
900200,12871,50614,2021-09-20 00:00:00,6,444,PayPal,Returned
900201,10049,50771,2023-02-22 00:00:00,10,730,Credit Card,Returned
900202,12837,50099,2022-05-20 00:00:00,9,2124,Credit Card,Pending
900203,10293,50339,2021-07-22 00:00:00,2,578,Credit Card,Pending
900204,11652,50811,2021-02-21 00:00:00,10,4400,Credit Card,Cancelled
900205,10536,50797,2021-12-29 00:00:00,9,2106,Credit Card,Returned
900206,10311,50266,2021-02-14 00:00:00,3,1071,Bank Transfer,Cancelled
900207,10537,50652,2023-04-07 00:00:00,3,729,Bank Transfer,Returned
900208,11927,50814,2023-02-28 00:00:00,3,51,Bank Transfer,Delivered
900209,12687,50798,2023-02-10 00:00:00,1,259,Credit Card,Returned
900210,10234,50350,2021-05-22 00:00:00,10,2720,PayPal,Pending
900211,11233,50978,2023-03-08 00:00:00,7,2373,PayPal,Returned
900212,12653,50728,2021-02-06 00:00:00,10,680,Credit Card,Cancelled
900213,12142,50544,2021-02-14 00:00:00,7,1113,Bank Transfer,Delivered
900214,12375,50457,2023-07-09 00:00:00,2,800,PayPal,Pending
900215,12273,50815,2023-12-06 00:00:00,6,2280,Credit Card,Delivered
900216,10967,50088,2022-07-19 00:00:00,4,616,Bank Transfer,Pending
900217,10890,50063,2021-10-28 00:00:00,7,2380,Bank Transfer,Pending
900218,12059,50922,2021-10-15 00:00:00,7,490,Bank Transfer,Delivered
900219,10035,50387,2023-02-25 00:00:00,4,1536,Bank Transfer,Delivered
900220,10447,50791,2021-09-26 00:00:00,3,1494,Bank Transfer,Returned
900221,11764,50459,2023-03-02 00:00:00,7,1050,Bank Transfer,Returned
900222,12489,50586,2023-12-22 00:00:00,9,549,Bank Transfer,Pending
900223,12701,50818,2022-08-04 00:00:00,4,956,Bank Transfer,Returned
900224,11559,50932,2023-07-25 00:00:00,6,168,Bank Transfer,Returned
900225,10595,50636,2021-12-20 00:00:00,7,1190,Bank Transfer,Pending
900226,12026,50269,2023-08-26 00:00:00,10,3910,Credit Card,Returned
900227,12277,50894,2021-03-12 00:00:00,3,1179,PayPal,Delivered
900228,10344,50797,2023-04-15 00:00:00,5,1170,Credit Card,Cancelled
900229,11104,50934,2022-02-17 00:00:00,1,216,PayPal,Delivered
900230,11420,50973,2022-09-04 00:00:00,6,1650,Credit Card,Cancelled
900231,11314,50633,2023-12-21 00:00:00,5,475,PayPal,Delivered
900232,11479,50346,2022-09-07 00:00:00,7,1050,PayPal,Cancelled
900233,11152,50724,2022-06-13 00:00:00,9,387,PayPal,Cancelled
900234,12957,50901,2021-07-10 00:00:00,4,248,Credit Card,Returned
900235,11922,50660,2021-03-19 00:00:00,9,4338,PayPal,Pending
900236,11383,50078,2023-06-08 00:00:00,6,2538,Bank Transfer,Delivered
900237,12575,50365,2023-08-07 00:00:00,5,2080,PayPal,Returned
900238,12123,50014,2021-01-17 00:00:00,2,210,Credit Card,Delivered
900239,11570,50136,2023-03-26 00:00:00,1,309,Credit Card,Delivered
900240,11895,50304,2022-03-10 00:00:00,8,1560,Bank Transfer,Cancelled
900241,12244,50397,2023-12-03 00:00:00,6,2622,PayPal,Cancelled
900242,11867,50792,2023-12-28 00:00:00,7,1554,Credit Card,Pending
900243,10029,50079,2021-07-31 00:00:00,6,1068,PayPal,Cancelled
900244,10706,50755,2021-07-22 00:00:00,10,4160,Bank Transfer,Delivered
900245,11021,50705,2022-12-27 00:00:00,7,1337,Bank Transfer,Cancelled
900246,12064,50982,2021-04-19 00:00:00,9,2727,Credit Card,Returned
900247,11447,50418,2023-08-26 00:00:00,5,430,PayPal,Returned
900248,12853,50242,2021-10-11 00:00:00,1,223,Bank Transfer,Cancelled
900249,12988,50051,2023-07-30 00:00:00,1,230,Bank Transfer,Pending
900250,11660,50744,2023-01-07 00:00:00,9,855,Credit Card,Cancelled
900251,10967,50771,2023-07-21 00:00:00,5,365,Bank Transfer,Returned
900252,12277,50384,2022-08-26 00:00:00,2,200,Credit Card,Delivered
900253,12763,50375,2022-05-06 00:00:00,3,975,Bank Transfer,Delivered
900254,10573,50730,2021-01-19 00:00:00,1,376,Bank Transfer,Delivered
900255,11607,50206,2023-03-12 00:00:00,6,1302,Credit Card,Returned
900256,10615,50826,2023-01-30 00:00:00,6,1932,Credit Card,Returned
900257,10326,50489,2023-07-18 00:00:00,3,1260,PayPal,Delivered
900258,12923,50381,2021-10-25 00:00:00,3,153,Bank Transfer,Pending
900259,10359,50968,2022-12-06 00:00:00,7,3283,PayPal,Pending
900260,11811,50881,2023-03-26 00:00:00,1,95,PayPal,Delivered
900261,12372,50311,2023-03-14 00:00:00,5,1435,Credit Card,Delivered
900262,11722,50375,2022-01-08 00:00:00,3,975,Bank Transfer,Returned
900263,11350,50632,2023-07-17 00:00:00,5,2055,Credit Card,Cancelled
900264,10165,50592,2023-08-09 00:00:00,4,156,Bank Transfer,Returned
900265,11597,50042,2023-04-24 00:00:00,6,2730,Credit Card,Cancelled
900266,11628,50533,2023-08-05 00:00:00,9,2655,Bank Transfer,Cancelled
900267,12846,50522,2022-03-19 00:00:00,2,980,PayPal,Cancelled
900268,12503,50825,2021-05-22 00:00:00,10,1900,Bank Transfer,Cancelled
900269,11177,50153,2022-02-06 00:00:00,8,160,Bank Transfer,Delivered
900270,11151,50312,2023-04-03 00:00:00,2,870,Credit Card,Cancelled
900271,10193,50294,2021-08-10 00:00:00,4,1508,Bank Transfer,Cancelled
900272,12675,50598,2023-01-07 00:00:00,9,3474,Bank Transfer,Cancelled
900273,12578,50113,2023-09-21 00:00:00,4,724,Bank Transfer,Returned
900274,10092,50701,2021-04-23 00:00:00,7,77,Bank Transfer,Returned
900275,10139,50112,2023-12-30 00:00:00,5,1100,PayPal,Returned
900276,10481,50175,2022-08-21 00:00:00,2,864,Credit Card,Pending
900277,12497,50822,2023-06-23 00:00:00,8,1272,Bank Transfer,Returned
900278,11357,50302,2022-04-30 00:00:00,10,3950,Credit Card,Pending
900279,12917,50964,2022-07-05 00:00:00,10,4680,PayPal,Returned
900280,10340,50516,2023-10-31 00:00:00,2,794,PayPal,Pending
900281,11076,50734,2021-01-03 00:00:00,3,1338,Bank Transfer,Returned
900282,12514,50962,2022-10-24 00:00:00,10,320,Credit Card,Delivered
900283,12766,50221,2021-03-08 00:00:00,7,1057,Credit Card,Returned
900284,10799,50171,2022-12-06 00:00:00,5,1845,Credit Card,Pending
900285,10475,50318,2021-04-08 00:00:00,10,210,PayPal,Cancelled
900286,12449,50996,2023-12-17 00:00:00,3,957,PayPal,Returned
900287,11463,50213,2021-03-29 00:00:00,2,132,Bank Transfer,Cancelled
900288,10605,50253,2023-08-30 00:00:00,6,1116,Credit Card,Cancelled
900289,12980,50124,2022-10-15 00:00:00,10,4520,Credit Card,Returned
900290,12970,50640,2022-10-18 00:00:00,1,93,PayPal,Returned
900291,10821,50213,2023-07-01 00:00:00,8,528,Bank Transfer,Delivered
900292,12705,50624,2022-01-06 00:00:00,5,2000,Bank Transfer,Pending
900293,10598,50085,2022-01-10 00:00:00,5,2250,Bank Transfer,Returned
900294,11533,50516,2021-02-21 00:00:00,2,794,PayPal,Pending
900295,10514,50065,2021-02-10 00:00:00,7,840,Credit Card,Returned
900296,11527,50318,2023-03-27 00:00:00,5,105,Bank Transfer,Cancelled
900297,11878,50346,2021-04-01 00:00:00,8,1200,Bank Transfer,Cancelled
900298,11700,50632,2021-02-08 00:00:00,5,2055,Credit Card,Returned
900299,11030,50243,2023-11-03 00:00:00,9,225,Bank Transfer,Pending
900300,10500,50898,2023-06-19 00:00:00,5,840,PayPal,Pending
900301,11685,50137,2022-09-13 00:00:00,3,240,Bank Transfer,Cancelled
900302,10717,50247,2021-04-14 00:00:00,2,632,Credit Card,Pending
900303,11142,50441,2023-01-13 00:00:00,5,360,PayPal,Pending
900304,11509,50045,2021-02-12 00:00:00,10,3130,Bank Transfer,Delivered
900305,12649,50658,2021-07-28 00:00:00,10,3770,Credit Card,Cancelled
900306,10666,50880,2022-08-23 00:00:00,5,1265,Credit Card,Pending
900307,12516,50688,2022-08-28 00:00:00,6,1110,Credit Card,Delivered
900308,12209,50554,2022-04-21 00:00:00,2,506,Credit Card,Returned
900309,12318,50809,2021-04-19 00:00:00,5,2125,Bank Transfer,Delivered
900310,11080,50971,2021-08-02 00:00:00,1,211,Bank Transfer,Delivered
900311,10228,50089,2022-02-13 00:00:00,3,408,PayPal,Delivered
900312,12897,50730,2023-02-10 00:00:00,3,1128,PayPal,Delivered
900313,10149,50954,2022-09-25 00:00:00,3,915,Credit Card,Delivered
900314,11070,50228,2021-03-18 00:00:00,3,1350,Credit Card,Delivered
900315,11168,50810,2021-04-05 00:00:00,8,2104,PayPal,Returned
900316,10632,50291,2021-09-26 00:00:00,1,475,Bank Transfer,Returned
900317,11364,50422,2021-12-27 00:00:00,6,972,Bank Transfer,Cancelled
900318,10413,50067,2022-06-14 00:00:00,6,2148,Bank Transfer,Cancelled
900319,11756,50251,2022-11-14 00:00:00,1,408,Credit Card,Returned
900320,10520,50041,2021-06-11 00:00:00,1,105,PayPal,Returned
900321,11368,50099,2022-04-10 00:00:00,3,708,PayPal,Cancelled
900322,12435,50306,2023-04-03 00:00:00,8,368,PayPal,Delivered
900323,12323,50872,2022-07-02 00:00:00,6,2496,Bank Transfer,Pending
900324,12401,50854,2021-02-21 00:00:00,4,392,PayPal,Delivered
900325,11103,50456,2022-05-03 00:00:00,5,1920,PayPal,Returned
900326,10598,50591,2021-04-02 00:00:00,10,1770,Bank Transfer,Cancelled
900327,11660,50301,2022-10-13 00:00:00,3,645,Credit Card,Cancelled
900328,11686,50199,2021-12-23 00:00:00,6,1182,Credit Card,Delivered
900329,12606,50659,2022-12-20 00:00:00,6,1782,Bank Transfer,Cancelled
900330,12161,50488,2021-07-18 00:00:00,6,2166,PayPal,Returned
900331,12189,50106,2023-03-26 00:00:00,9,1548,Credit Card,Returned
900332,11925,50401,2021-08-05 00:00:00,10,760,Credit Card,Pending
900333,10730,50705,2022-07-10 00:00:00,8,1528,Credit Card,Returned
900334,10589,50477,2023-03-14 00:00:00,6,2940,Bank Transfer,Pending
900335,12459,50122,2022-12-02 00:00:00,2,912,Credit Card,Pending
900336,10377,50077,2022-05-18 00:00:00,4,1392,PayPal,Delivered
900337,11408,50312,2022-04-14 00:00:00,6,2610,Bank Transfer,Cancelled
900338,11870,50112,2022-01-01 00:00:00,9,1980,Bank Transfer,Returned
900339,10751,50861,2022-09-16 00:00:00,2,738,Credit Card,Cancelled
900340,10627,50809,2023-07-09 00:00:00,6,2550,PayPal,Pending
900341,11630,50682,2022-07-15 00:00:00,10,1730,Bank Transfer,Returned
900342,10995,50518,2023-04-03 00:00:00,10,2090,Credit Card,Cancelled
900343,11584,50197,2023-08-25 00:00:00,10,4090,PayPal,Returned
900344,10703,50098,2022-10-25 00:00:00,7,3332,PayPal,Delivered
900345,12510,50459,2023-01-21 00:00:00,8,1200,Bank Transfer,Returned
900346,12060,50841,2022-01-18 00:00:00,9,4059,Credit Card,Pending
900347,11180,50230,2021-11-05 00:00:00,5,235,PayPal,Returned
900348,10477,50168,2021-06-25 00:00:00,9,4248,Bank Transfer,Delivered
900349,12987,50809,2021-08-16 00:00:00,9,3825,Bank Transfer,Delivered
900350,10401,50777,2021-12-13 00:00:00,7,1351,Bank Transfer,Cancelled
900351,12856,50008,2023-10-18 00:00:00,2,370,Bank Transfer,Delivered
900352,12225,50172,2021-12-16 00:00:00,8,2432,Bank Transfer,Pending
900353,10057,50954,2022-03-31 00:00:00,5,1525,PayPal,Delivered
900354,11876,50360,2022-03-17 00:00:00,8,2712,Bank Transfer,Cancelled
900355,10448,50195,2023-01-31 00:00:00,2,264,Credit Card,Delivered
900356,10203,50269,2022-05-30 00:00:00,7,2737,Credit Card,Delivered
900357,11657,50019,2021-10-15 00:00:00,5,1905,PayPal,Returned
900358,10738,50354,2021-01-08 00:00:00,4,1392,Bank Transfer,Cancelled
900359,10202,50864,2021-03-28 00:00:00,10,3460,Bank Transfer,Returned
900360,11354,50049,2023-09-25 00:00:00,6,402,PayPal,Cancelled
900361,12411,50464,2021-10-13 00:00:00,5,560,Bank Transfer,Cancelled
900362,10892,50356,2021-03-15 00:00:00,6,618,Bank Transfer,Cancelled
900363,12502,50850,2023-03-17 00:00:00,9,2277,Credit Card,Cancelled
900364,12404,50974,2021-06-07 00:00:00,1,253,Bank Transfer,Cancelled
900365,10216,50158,2022-03-06 00:00:00,1,41,PayPal,Cancelled
900366,12603,50066,2023-04-26 00:00:00,6,438,Credit Card,Delivered
900367,12935,50973,2021-02-05 00:00:00,2,550,PayPal,Delivered
900368,10023,50859,2023-10-18 00:00:00,8,2368,PayPal,Delivered
900369,12203,50571,2023-09-01 00:00:00,7,1540,Bank Transfer,Pending
